,Neurons,Train,Test
0,5.0,56.811594202898554,57.21153846153846
1,10.0,53.83022774327122,54.64743589743589
2,50.0,53.62318840579711,52.243589743589745
3,100.0,51.30434782608696,50.641025641025635
