,Neurons,Train,Test
0,5.0,48.113207547169814,57.49999999999999
1,10.0,56.91823899371069,43.75
2,50.0,59.74842767295597,50.0
3,100.0,72.95597484276729,57.49999999999999
4,300.0,100.0,51.24999999999999
5,500.0,50.0,50.0
6,1000.0,48.42767295597484,51.24999999999999
